ID,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15
117,31.125,37.375,40.25,45.5,31.25,45.75,37.625,42.875,32.75,29.25,40.125,35.85714286,35.625,36.5,37.125
118,31.625,44,39.875,43.5,31.625,33.375,33.375,33.125,26.875,39.75,42.625,51.14285714,55.25,39.5,45.875
119,27.875,18.625,27.5,18.875,29.375,25,24.125,17,17.375,21.75,20.5,17.28571429,16.625,12.375,16.25
120,26.125,19.75,24,22.125,27,22.375,28.625,22.625,20.625,23.875,24.75,18.71428571,17.25,21.625,18.75
121,17.625,17.75,14.75,28.25,14.25,19.125,10.5,27.875,22.5,31.75,18.5,17.85714286,19,17.625,19
122,39.5,46.375,42,39.875,34.375,30.625,29.5,25.875,22.875,30.625,39.25,42.42857143,47.875,32,44.125
123,18.75,0,0,0,6.25,0,0,0,6.625,6.875,0,0,0,7.25,0
124,51.375,40.5,41.125,33.25,49,33.125,34.125,39.25,42.375,46.375,57,37.71428571,60.875,40.75,41.375
125,45.75,38.375,46,29.75,43,52.875,27.625,42.625,32.5,47.5,33.875,31.71428571,31,32,51.875
126,45.125,42.75,57,65.125,58.375,43,40,44.75,46,34.75,50.75,46.42857143,29.125,29.625,17.5
127,18.25,12.75,16.75,16,23.125,14.875,13.875,11.875,14.375,16.125,11.25,7.285714286,8.875,10.125,10.375
128,78.125,50.375,56.875,72.5,72.125,46.875,64.875,38.375,64.5,58.75,57.125,34.28571429,36.25,33.375,26
129,9.875,10.125,5,8.625,7.5,12.25,11.625,10.5,10.5,19.375,19.25,19.57142857,24.625,21.875,14.875
130,31.375,20.75,27,26.5,24,26.375,25.25,27.875,27.375,24.125,17.25,17.85714286,14.625,11.375,13
131,35.875,35.875,37,40.375,40.75,36.125,35.25,37.125,32.875,45.25,47.25,50,40.875,43.5,46.5
132,37.125,30.5,34.875,43.125,32.875,53.375,29.5,44.5,51.375,43.125,39.125,31.14285714,41,29.25,29.75
133,45.75,49.625,46,55.25,49.125,44,52.25,43,44.375,56.625,62.875,58.71428571,67.5,55.25,55.5
134,61.25,57.375,59.25,46.625,59.875,49.5,53,52.25,44.5,57.125,59,54,57.75,56,53.125
135,40.125,45.5,39.625,50.375,42.25,33.125,36.625,40.625,32.75,36.875,59.625,63,63.125,51,55.25
136,8.25,23.375,9.75,18,8.25,15.625,10.125,18,14.875,18.375,14.375,17.71428571,23.875,10.875,12.625
137,32.875,33.375,34,23.75,35.125,36,30.375,27.75,28.125,38.375,38.125,23.57142857,35.75,21.625,45.5
138,94,109.75,80.5,94.25,92.875,88,126.875,85.875,104.75,105.5,91.375,119.7142857,116.125,138.875,83.125
139,32,23.625,30.75,17.375,30.375,40.75,20.125,28.625,31.625,31.875,26.25,17.57142857,24.125,22,23.125
140,50.625,49.125,32.75,43.125,42.75,43.875,59.25,59.25,42.625,56,48.375,65.71428571,61.125,71.5,33.875
141,53.625,54.875,45,55.375,51.375,52,57.875,71,49,61.125,48.375,58.42857143,47.25,59.375,45.75
142,8.125,22.5,4.5,3.75,14.375,20.25,10.375,14.625,11.625,20,8.5,12.71428571,17.5,16.75,5.5
143,40.625,54.625,54.875,58.375,45,51,38,36.375,48.125,38.375,51.125,67.71428571,67.875,48.25,77.625
144,41.125,52.75,44.375,49.875,43.625,52,33.25,39.25,44.5,39.875,46,43.71428571,59.25,48.25,45
145,32.125,26.375,29.625,28.375,27.25,20.125,22.75,29.375,27.625,27.25,25.5,34,31.375,29,21.875
146,38.125,37.25,28.75,40.625,33.25,52.375,36.5,32.375,35.5,35.5,31.375,29.42857143,25.25,29.875,20.875
147,33.75,38,61,53.75,43.625,51.875,29.625,48.5,41,31.5,53.75,76.71428571,51.125,40.875,76.25
148,44.875,43.875,33.5,41.25,32.125,41.375,39.5,47.25,35,44.5,35.625,35.71428571,34.5,41.25,28.5
149,45.25,58.75,49.75,64.125,55.875,59,71.375,56.625,63.875,62.75,68.875,87.57142857,70.5,78.25,59.875
150,12.625,10.75,12.625,11.125,10,15.5,12.625,11.25,12.125,16.5,11.875,12.14285714,9.125,10,11.875
151,17.375,24.375,18.625,20.125,19.625,28.875,21.125,29.375,20.875,35.625,35.625,35.57142857,43.375,34.5,34.25
152,22.875,33.625,32.125,38.375,30.5,34.625,28.75,31.875,28.375,31.375,34.75,32.57142857,36.25,28.25,37.5
153,36.25,33.75,37.375,37.125,25.625,20.75,32.875,41.25,19.375,35.625,20.625,30.85714286,16,35,19.25
154,13.375,28.75,46.375,45.375,25.375,39,21.75,28.5,11.5,13.75,36.5,57.42857143,72.375,29,72.125
155,46.5,56,44.75,50,48.125,45.625,49.625,46.5,50.375,47.375,48.25,42.28571429,58.5,40.875,47.625
156,13.625,14.875,23,12.875,14.5,21.875,9.25,20.5,13.125,21,16.5,13.14285714,14.25,9.5,20.625
